"","employees","salaries_2017","salaries_2018","change","got_raise"
"1","Employee 1",49282.3683074676,53728.3794768155,4446.01116934791,TRUE
"2","Employee 2",47110.1398323663,46014.8507659324,-1095.28906643391,FALSE
"3","Employee 3",48719.9537432753,49478.1879044604,758.234161185101,TRUE
"4","Employee 4",46567.2949026339,52411.0960809048,5843.80117827095,TRUE
"5","Employee 5",43808.7931298651,41556.0705796815,-2252.72255018353,FALSE
"6","Employee 6",42277.7742007747,41144.7964026593,-1132.97779811546,FALSE
"7","Employee 7",48164.7528614849,52944.2103637848,4779.45750229992,TRUE
"8","Employee 8",42453.7698854692,43180.9741817415,727.204296272248,TRUE
"9","Employee 9",45269.8848047294,42237.5171806198,-3032.36762410961,FALSE
"10","Employee 10",44517.0423551463,47826.2537927367,3309.21143759042,TRUE
"11","Employee 11",44088.0527184345,42282.287949929,-1805.76476850547,FALSE
"12","Employee 12",41698.8140228204,50428.1561775133,8729.34215469286,TRUE
"13","Employee 13",43725.8376087993,41979.4957037084,-1746.34190509096,FALSE
"14","Employee 14",49573.7547450699,53174.4263856672,3600.67164059728,TRUE
"15","Employee 15",45253.9738360792,46084.4551445916,830.48130851239,TRUE
"16","Employee 16",45756.4868591726,49178.5856080242,3422.09874885157,TRUE
"17","Employee 17",42140.6685304828,42781.4641222358,640.795591752976,TRUE
"18","Employee 18",48826.7636159435,55026.698410511,6199.93479456753,TRUE
"19","Employee 19",44034.6786356531,39813.8211166952,-4220.85751895793,FALSE
"20","Employee 20",47073.7135643139,43074.4295322802,-3999.28403203376,FALSE
"21","Employee 21",46895.9720223211,47585.4370335583,689.465011237189,TRUE
"22","Employee 22",42101.9178582355,45240.8481913153,3138.93033307977,TRUE
"23","Employee 23",40658.6210103706,45339.4485358149,4680.82752544433,TRUE
"24","Employee 24",43764.9007118307,48126.6657530796,4361.76504124887,TRUE
"25","Employee 25",49363.0447378382,52583.0641586799,3220.01942084171,TRUE
"26","Employee 26",49574.166322127,50410.3089077398,836.142585612833,TRUE
"27","Employee 27",42323.6290318891,41165.378454607,-1158.25057728216,FALSE
"28","Employee 28",46206.131617073,43704.2983004358,-2501.8333166372,FALSE
"29","Employee 29",42280.2270483226,38584.1035249177,-3696.12352340482,FALSE
"30","Employee 30",41101.8080171198,36453.6095375661,-4648.19847955368,FALSE
"31","Employee 31",48744.7596737184,55785.9680475667,7041.20837384835,TRUE
"32","Employee 32",43655.9569276869,53429.1678958107,9773.21096812375,TRUE
"33","Employee 33",45115.3784384951,47645.1032410841,2529.72480258904,TRUE
"34","Employee 34",46194.7973049246,55339.1777980141,9144.38049308956,TRUE
"35","Employee 35",47465.8503639512,47004.1736902203,-461.676673730835,FALSE
"36","Employee 36",41997.1244898625,41373.5731388442,-623.55135101825,FALSE
"37","Employee 37",42385.2514545433,50468.6497710645,8083.3983165212,TRUE
"38","Employee 38",47757.8333346173,49484.5142192207,1726.68088460341,TRUE
"39","Employee 39",44842.320503667,40672.6482952945,-4169.6722083725,FALSE
"40","Employee 40",48628.7743225694,54187.3732651584,5558.59894258901,TRUE
"41","Employee 41",45345.2874836512,51812.8068989608,6467.51941530965,TRUE
"42","Employee 42",42249.2443374358,43994.585077744,1745.34074030817,TRUE
"43","Employee 43",44346.0998660885,53444.1132284701,9098.01336238161,TRUE
"44","Employee 44",48850.1960691065,54824.9380360357,5974.74196692929,TRUE
"45","Employee 45",43891.636247281,45449.0151873324,1557.37894005142,TRUE
"46","Employee 46",48528.5539692268,50339.6948461886,1811.14087696187,TRUE
"47","Employee 47",43570.3089972958,42397.3692988511,-1172.93969844468,FALSE
"48","Employee 48",44737.3655205593,51555.4357820656,6818.07026150636,TRUE
"49","Employee 49",41242.2206415795,49970.185237471,8727.96459589154,TRUE
"50","Employee 50",48025.6290291436,54127.8916154988,6102.26258635521,TRUE
"51","Employee 51",40077.8855988756,42123.3750903048,2045.48949142918,TRUE
"52","Employee 52",40009.8741659895,35023.6350053456,-4986.23916064389,FALSE
"53","Employee 53",46691.3455491886,53226.6007794533,6535.25523026474,TRUE
"54","Employee 54",42700.3392367624,43641.9593216851,941.620084922761,TRUE
"55","Employee 55",45384.4365756959,52344.8437696788,6960.40719398297,TRUE
"56","Employee 56",43979.7628042288,50446.7302223202,6466.96741809137,TRUE
"57","Employee 57",49139.6862687543,45417.0919233002,-3722.59434545413,FALSE
"58","Employee 58",42388.4530551732,50282.2558477055,7893.80279253237,TRUE
"59","Employee 59",48690.2212910354,54295.4479367472,5605.22664571181,TRUE
"60","Employee 60",48795.363123063,47167.4304571934,-1627.93266586959,FALSE
